brand_name,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
GMC,192360900.95799997,148546536.49445796,43814364.463542014,2052567.0,0.22777167420893102,19.236090095799998,4.3814364463542015,0.2052567
Amul,273414620.13500005,252110248.63019004,21304371.504809998,4874506.0,0.07791964999637123,27.341462013500006,2.130437150481,0.4874506
Fortune,230956141.891,215690145.647327,15265996.24367299,1069511.0,0.06609911353159767,23.0956141891,1.526599624367299,0.1069511
Tata Sampann,70620751.78299999,58277606.609903,12343145.173096996,646208.0,0.1747807105059489,7.062075178299999,1.2343145173096997,0.0646208
Mother Dairy,97202751.23100002,87782534.260008,9420216.970991991,2534053.0,0.09691306934929311,9.720275123100002,0.9420216970991991,0.2534053
Catch,42641988.1,33984155.034603015,8657833.065396998,743299.0,0.20303539893809497,4.26419881,0.8657833065396998,0.0743299
Haldiram's,57000993.461,48533767.32752699,8467226.133473,868511.0,0.14854523788723548,5.7000993461,0.8467226133472999,0.0868511
Rajdhani,43447084.646,35753043.24666802,7694041.399331996,628201.0,0.1770899350790009,4.3447084646,0.7694041399331997,0.0628201
Grocery,67384161.197,60006805.72749901,7377355.469500998,733343.0,0.10948204056340534,6.7384161197,0.7377355469500998,0.0733343
Harvest Gold,25350872.466,19137553.226124004,6213319.239875999,558010.0,0.24509291537043384,2.5350872466,0.6213319239876,0.055801
Bisleri,17722732.587000005,12606234.576415,5116498.010584998,442130.0,0.28869690300118034,1.7722732587000005,0.5116498010584998,0.044213
India Gate,40758390.89299999,35678466.466253005,5079924.426747001,130946.0,0.12463505833885721,4.0758390893,0.5079924426747001,0.0130946
Patanjali,32942399.347000003,28415270.581785005,4527128.765214999,371022.0,0.13742559300336074,3.2942399347,0.45271287652149994,0.0371022
Kwality Walls,21178329.460999995,17049172.420894995,4129157.040105001,147624.0,0.19497085677644524,2.1178329460999996,0.4129157040105001,0.0147624
Everest,18677892.942,15035728.849321008,3642164.092679001,306769.0,0.1949986598589532,1.8677892942,0.3642164092679001,0.0306769
English Oven,13917215.411,10488581.013999002,3428634.3970009997,326768.0,0.24635922458245837,1.3917215411000001,0.34286343970009997,0.0326768
GHH,8874242.092999998,5624758.548481999,3249483.544517999,107156.0,0.36617026112925083,0.8874242092999999,0.3249483544517999,0.0107156
Dettol,25556716.083999995,22537851.364201,3018864.719799,187862.0,0.11812412478491266,2.5556716083999995,0.3018864719799,0.0187862
Gainda,8173191.709000001,5306971.167756997,2866220.5412429986,57633.0,0.3506855881144728,0.8173191709000001,0.28662205412429986,0.0057633
Pansari,32671985.566000003,29885236.796940003,2786748.769059999,135967.0,0.08529474780253393,3.2671985566000004,0.2786748769059999,0.0135967
Origami So Soft,7069082.620999999,4310891.170097002,2758191.4509030003,42638.0,0.39017671723192054,0.7069082620999999,0.27581914509030003,0.0042638
Coca-Cola,25130441.191000003,22514592.134547994,2615849.0564520005,495894.0,0.10409085286528189,2.5130441191000004,0.26158490564520004,0.0495894
Lay's,26269157.544,23791275.047292992,2477882.496706999,816666.0,0.09432668301435343,2.6269157544,0.2477882496706999,0.0816666
MDH,10702636.182,8370592.041999001,2332044.1400010013,125039.0,0.21789436736372483,1.0702636182,0.23320441400010014,0.0125039
Country Delight,12232339.244999995,10031971.117392998,2200368.1276069996,194165.0,0.17988122169734677,1.2232339244999995,0.22003681276069995,0.0194165
Gala,11578682.683999998,9383778.865509,2194903.8184909993,64848.0,0.1895642085022355,1.1578682684,0.21949038184909994,0.0064848
McCain,16238060.901999997,14069753.471877001,2168307.430123001,114047.0,0.13353241148738001,1.6238060901999998,0.2168307430123001,0.0114047
Bikano,9985248.046000004,7838438.202194998,2146809.8438049997,99044.0,0.21499814866041225,0.9985248046000004,0.21468098438049998,0.0099044
SPT,8197721.7409999985,6072271.195983,2125450.5450169994,88624.0,0.259273321560403,0.8197721740999998,0.21254505450169994,0.0088624
Kellogg's,26220248.103,24153895.752779983,2066352.35022,93354.0,0.07880750563849842,2.6220248103,0.20663523502199999,0.0093354
iD,18712878.459,16686476.290167997,2026402.168831999,297076.0,0.10828917492687484,1.8712878459,0.2026402168831999,0.0297076
Durex,9731666.009999998,7774831.329985995,1956834.6800140005,60124.0,0.20107910382489594,0.9731666009999997,0.19568346800140005,0.0060124
Milkfood,28593297.0,26647361.929050006,1945935.0709499998,63817.0,0.06805563803817377,2.8593297,0.19459350709499998,0.0063817
Daawat,33831745.046000004,31930438.082292,1901306.9637080005,122840.0,0.05619890316396186,3.3831745046000004,0.19013069637080005,0.012284
Gowardhan,17978063.494,16107784.11515,1870279.3788499997,68721.0,0.1040311922067795,1.7978063493999998,0.18702793788499997,0.0068721
Polyset,4395175.172,2532718.843753999,1862456.3282459998,26409.0,0.4237501931916173,0.43951751720000004,0.18624563282459997,0.0026409
Britannia,25813717.550999995,23954720.171103004,1858997.3798969998,563168.0,0.07201587203486637,2.5813717550999997,0.18589973798969997,0.0563168
ChefiGo,11763777.835,9919432.702294994,1844345.1327049986,65387.0,0.15678170385177106,1.1763777835,0.18443451327049987,0.0065387
Nandini,31209623.415,29375198.11684699,1834425.2981529997,789011.0,0.05877755312072547,3.1209623415,0.18344252981529996,0.0789011
Madhur,16979190.033,15209944.45365899,1769245.5793409995,139657.0,0.10420082323729062,1.6979190033,0.17692455793409995,0.0139657
Basic,22994186.289,21267636.22927,1726550.0597300003,222767.0,0.07508637348719534,2.2994186289000003,0.17265500597300004,0.0222767
Milky Mist,12717367.698,10997021.447128007,1720346.2508720001,190293.0,0.13527534091371368,1.2717367698000002,0.17203462508720002,0.0190293
Bambino,9605376.747000001,7887881.215125002,1717495.5318749996,102778.0,0.17880563949887923,0.9605376747000002,0.17174955318749996,0.0102778
Crystal,3781978.8800000004,2074672.5211089998,1707306.358891,41960.0,0.45143201828007035,0.37819788800000004,0.1707306358891,0.004196
SaveMore,4630737.044,2930530.368221001,1700206.6757790002,60306.0,0.3671568175053129,0.46307370439999995,0.17002066757790002,0.0060306
Wintex,3610944.202,1920004.3491209997,1690939.852879,33239.0,0.4682819114021302,0.3610944202,0.16909398528789998,0.0033239
Thums Up,15856456.873,14177830.1851,1678626.6878999998,321767.0,0.10586392037923212,1.5856456873,0.16786266878999997,0.0321767
Organic Tattva,11988358.127,10318770.353326006,1669587.7736739998,152346.0,0.13926742561300193,1.1988358127,0.16695877736739997,0.0152346
Hen Fruit,9855175.887000002,8221445.508712,1633730.378288,89366.0,0.16577384280305535,0.9855175887000002,0.1633730378288,0.0089366
Del Monte,14238884.309,12635720.318325,1603163.9906750005,63784.0,0.11259056228595701,1.4238884309,0.16031639906750006,0.0063784
Hamdard,11033345.228,9463056.969503,1570288.258497001,71571.0,0.14232204522269307,1.1033345228,0.1570288258497001,0.0071571
Scotch Brite,9078713.591,7532778.264675003,1545935.3263250005,99330.0,0.17028131913507355,0.9078713591,0.15459353263250006,0.009933
Fresca,4926968.272,3384850.6366659994,1542117.6353339988,92598.0,0.31299524376843785,0.49269682719999996,0.15421176353339988,0.0092598
Carnivore,5016382.521,3492046.322691999,1524336.1983079994,25956.0,0.3038716030778546,0.5016382521,0.15243361983079995,0.0025956
Bagrry's,9808282.364000002,8309535.895650997,1498746.4683489997,43541.0,0.1528041723033943,0.9808282364000002,0.14987464683489998,0.0043541
ITC Master Chef,7984901.799999999,6551405.451550996,1433496.348449,50291.0,0.17952585822019754,0.7984901799999999,0.1433496348449,0.0050291
Himalaya,9221462.627,7810436.285086001,1411026.341914,53639.0,0.15301545958474988,0.9221462627,0.1411026341914,0.0053639
Modern,5575195.856000001,4184821.6547779995,1390374.2012220002,140468.0,0.24938571435579,0.5575195856,0.13903742012220002,0.0140468
Origami,3727626.325,2339746.5501249996,1387879.7748750001,20166.0,0.37232266699237887,0.3727626325,0.13878797748750002,0.0020166
Maggi,60505754.187,59137945.20040099,1367808.9865989995,737204.0,0.02260626290801414,6.0505754187,0.13678089865989995,0.0737204
Sumeru,7402920.631,6042202.266885999,1360718.364113999,44331.0,0.1838083145746479,0.7402920631,0.13607183641139992,0.0044331
Whisper,25792957.419000003,24449768.700905006,1343188.7180950008,115128.0,0.05207579325919255,2.5792957419,0.13431887180950008,0.0115128
Haldiram's Nagpur,9178935.324000001,7844312.744726998,1334622.5792730001,116401.0,0.14540058646925924,0.9178935324,0.13346225792730002,0.0116401
Mr. Makhana,5992917.998000002,4659442.820094,1333475.177906,76467.0,0.2225084972547625,0.5992917998000001,0.1333475177906,0.0076467
GHD,5602125.072,4304587.953141001,1297537.1188589989,70478.0,0.23161516427832424,0.5602125071999999,0.12975371188589988,0.0070478
Red Bull,9237759.208,7953720.955742004,1284038.2522579997,53873.0,0.1389988874299742,0.9237759208,0.12840382522579996,0.0053873
Eveready,4380982.335,3104988.9309450015,1275993.404055,39495.0,0.29125737254427897,0.4380982335,0.1275993404055,0.0039495
Dr. Oetker,8699241.389,7435901.140849999,1263340.24815,66050.0,0.14522418584078678,0.8699241389000001,0.126334024815,0.006605
Borges,9235730.851000002,7975907.796659996,1259823.0543400007,19380.0,0.13640751064152037,0.9235730851000001,0.12598230543400007,0.001938
epigamia,9077629.601,7855496.488136002,1222133.1128640003,203601.0,0.1346313042701554,0.9077629601,0.12221331128640002,0.0203601
Harpic,27325599.060999997,26129603.874781005,1195995.186219001,179665.0,0.043768306178727664,2.7325599060999997,0.11959951862190009,0.0179665
Bhagyalakshmi,4843143.711,3656489.065473001,1186654.645527,99096.0,0.24501743419915628,0.48431437110000003,0.11866546455270001,0.0099096
Veeba,7801741.650000002,6618617.153839999,1183124.4961599999,66133.0,0.15164876629310067,0.7801741650000003,0.11831244961599999,0.0066133
