brand_name,revenue,total_qty,profit,profit_margin
Amul,273414620.13500005,4874506.0,21304371.504809998,0.07791964999637123
Fortune,230956141.891,1069511.0,15265996.24367299,0.06609911353159767
GMC,192360900.95799997,2052567.0,43814364.463542014,0.22777167420893102
Mother Dairy,97202751.23100002,2534053.0,9420216.970991991,0.09691306934929311
Aashirvaad,87286464.303,401468.0,763338.5788000011,0.008745211355453716
Tata Sampann,70620751.78299999,646208.0,12343145.173096996,0.1747807105059489
Grocery,67384161.197,733343.0,7377355.469500998,0.10948204056340534
Surf Excel,62737536.96900002,233610.0,-4223305.1656100005,-0.0673170380867331
Maggi,60505754.187,737204.0,1367808.9865989995,0.02260626290801414
Haldiram's,57000993.461,868511.0,8467226.133473,0.14854523788723548
Rajdhani,43447084.646,628201.0,7694041.399331996,0.1770899350790009
Tata Tea,43290549.41599999,228491.0,503633.0050339999,0.011633786399760022
Catch,42641988.1,743299.0,8657833.065396998,0.20303539893809497
India Gate,40758390.89299999,130946.0,5079924.426747001,0.12463505833885721
Saffola,38565038.151999995,158471.0,-622971.6856440003,-0.01615379409683516
Daawat,33831745.046000004,122840.0,1901306.9637080005,0.05619890316396186
Patanjali,32942399.347000003,371022.0,4527128.765214999,0.13742559300336074
Tide,32770322.959999997,91148.0,-886064.5467439997,-0.02703862723066675
Pansari,32671985.566000003,135967.0,2786748.769059999,0.08529474780253393
Nandini,31209623.415,789011.0,1834425.2981529997,0.05877755312072547
Real,29370951.077,373732.0,358537.16087900026,0.012207202958428061
Milkfood,28593297.0,63817.0,1945935.0709499998,0.06805563803817377
Harpic,27325599.060999997,179665.0,1195995.186219001,0.043768306178727664
Ariel,26517548.127,52457.0,-1115946.4586399992,-0.042083319818839116
Vim,26432590.493,292233.0,-598928.6662130002,-0.02265871997569104
Lay's,26269157.544,816666.0,2477882.496706999,0.09432668301435343
Kellogg's,26220248.103,93354.0,2066352.35022,0.07880750563849842
Britannia,25813717.550999995,563168.0,1858997.3798969998,0.07201587203486637
Whisper,25792957.419000003,115128.0,1343188.7180950008,0.05207579325919255
Dettol,25556716.083999995,187862.0,3018864.719799,0.11812412478491266
Harvest Gold,25350872.466,558010.0,6213319.239875999,0.24509291537043384
Coca-Cola,25130441.191000003,495894.0,2615849.0564520005,0.10409085286528189
Basic,22994186.289,222767.0,1726550.0597300003,0.07508637348719534
Kwality Walls,21178329.460999995,147624.0,4129157.040105001,0.19497085677644524
Pampers,19516648.724,23863.0,-3348987.0330600003,-0.17159641905844655
Eggoz,18857235.973999996,139929.0,770864.2254529999,0.04087896161006062
Nescafe,18836719.063,105279.0,771830.7723769997,0.040974798731965335
iD,18712878.459,297076.0,2026402.168831999,0.10828917492687484
Everest,18677892.942,306769.0,3642164.092679001,0.1949986598589532
Kissan,18148998.854999997,154776.0,674200.2383149998,0.0371480677089392
Gowardhan,17978063.494,68721.0,1870279.3788499997,0.1040311922067795
Bisleri,17722732.587000005,442130.0,5116498.010584998,0.28869690300118034
Madhur,16979190.033,139657.0,1769245.5793409995,0.10420082323729062
Glucon-D,16594256.727,60685.0,-694901.4943419999,-0.04187602408316048
