l1_category,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
Fresh Vegetables,231657216.11400005,158442608.00332296,73214608.11067702,9634355.0,0.31604717236456653,23.165721611400006,7.321460811067702,0.9634355
Fresh Fruits,142272058.504,102940826.79048301,39331231.713516995,2404248.0,0.276450851467867,14.2272058504,3.9331231713516996,0.2404248
Exotics,67372142.225,44824883.08338699,22547259.141613003,600189.0,0.33466739214426106,6.7372142225,2.2547259141613,0.0600189
Dry Fruits,107980357.759,88374796.43062899,19605561.328370992,577473.0,0.1815659971430026,10.7980357759,1.9605561328370993,0.0577473
Oil,353079123.048,333915787.5641481,19163335.483851995,1402688.0,0.05427490393207644,35.3079123048,1.9163335483851995,0.1402688
Powdered Spices,80368381.851,64495375.29626501,15873006.554735001,1197666.0,0.19750312485030452,8.036838185099999,1.5873006554735,0.1197666
Whole Spices,47390961.32300001,31544437.25254999,15846524.070449995,730723.0,0.334378616260719,4.7390961323,1.5846524070449994,0.0730723
Bread & Pav,62704153.966000006,47661177.25802999,15042976.707969995,1475133.0,0.23990398971217647,6.270415396600001,1.5042976707969995,0.1475133
Rice,133273698.04500002,119607648.65771502,13666049.387285,504077.0,0.10254123347481993,13.327369804500002,1.3666049387285,0.0504077
Ice Cream & Frozen Dessert,63047658.09899999,50284957.82262999,12762700.276369998,408555.0,0.20242941072179854,6.304765809899999,1.2762700276369998,0.0408555
Tissues & Disposables,30144835.387000002,18388902.37559201,11755933.011408003,220977.0,0.3899816622146082,3.0144835387000004,1.1755933011408004,0.0220977
"Toor, Urad & Chana",74773944.49699998,64278694.356034994,10495250.140965005,756341.0,0.14035972305013397,7.477394449699998,1.0495250140965005,0.0756341
Ghee & Vanaspati,132905114.22600001,123117641.52872103,9787472.697279006,302378.0,0.07364255886072064,13.290511422600002,0.9787472697279006,0.0302378
Curd & Yogurt,75325141.49899998,66024465.75231399,9300675.746686002,1872990.0,0.12347372419883842,7.532514149899998,0.9300675746686002,0.187299
"Salt, Sugar & Jaggery",77655933.572,69268224.73703502,8387708.834965001,1224389.0,0.1080111776286637,7.765593357199999,0.8387708834965001,0.1224389
Soft Drinks,85786241.38499998,77616010.98869702,8170230.396302999,1653430.0,0.09523940278063742,8.578624138499997,0.8170230396302999,0.165343
"Rajma, Chhole & Others",44396475.688999996,36356598.96540001,8039876.723599999,438356.0,0.18109267906578494,4.4396475689,0.8039876723599999,0.0438356
Moong & Masoor,46044057.474,38103844.726527005,7940212.747473,456318.0,0.1724481547256484,4.6044057473999995,0.7940212747473,0.0456318
Atta,174218161.89799997,166467927.97223496,7750233.925765005,672394.0,0.04448579781425175,17.421816189799998,0.7750233925765005,0.0672394
Chips & Crisps,77799950.571,70131411.699708,7668538.871292001,2497076.0,0.09856740030051453,7.7799950571,0.7668538871292001,0.2497076
Bhujia & Mixtures,48974176.146000005,41394775.805257015,7579400.340743001,605718.0,0.15476320251202536,4.8974176146,0.7579400340743001,0.0605718
Organic & Hydroponic,17896342.676,10654206.455288,7242136.220711998,667450.0,0.404671298031419,1.7896342675999999,0.7242136220711998,0.066745
Leafies & Herbs,14578528.010000005,7390112.034410999,7188415.975588999,1103630.0,0.4930824271598732,1.4578528010000005,0.7188415975588999,0.110363
"Besan, Sooji & Maida",36305337.078,29299602.950706996,7005734.127293002,704838.0,0.19296705914729756,3.6305337078,0.7005734127293002,0.0704838
