l1_category,revenue,total_qty,profit,profit_margin
Oil,353079123.048,1402688.0,19163335.483851995,0.05427490393207644
Fresh Vegetables,231657216.11400005,9634355.0,73214608.11067702,0.31604717236456653
Atta,174218161.89799997,672394.0,7750233.925765005,0.04448579781425175
Fresh Fruits,142272058.504,2404248.0,39331231.713516995,0.276450851467867
Milk,140576951.69399995,4663730.0,6441803.786614001,0.0458240394957216
Rice,133273698.04500002,504077.0,13666049.387285,0.10254123347481993
Ghee & Vanaspati,132905114.22600001,302378.0,9787472.697279006,0.07364255886072064
Detergent Powder & Bars,114502633.308,575965.0,-3576836.813162001,-0.031238031037597952
Dry Fruits,107980357.759,577473.0,19605561.328370992,0.1815659971430026
Tea,101734676.438,560066.0,4285714.462158002,0.042126388093147754
Soft Drinks,85786241.38499998,1653430.0,8170230.396302999,0.09523940278063742
Powdered Spices,80368381.851,1197666.0,15873006.554735001,0.19750312485030452
Chips & Crisps,77799950.571,2497076.0,7668538.871292001,0.09856740030051453
"Salt, Sugar & Jaggery",77655933.572,1224389.0,8387708.834965001,0.1080111776286637
Curd & Yogurt,75325141.49899998,1872990.0,9300675.746686002,0.12347372419883842
"Toor, Urad & Chana",74773944.49699998,756341.0,10495250.140965005,0.14035972305013397
Noodles,69258487.69999999,842340.0,143431.56947300007,0.0020709601701713173
Exotics,67372142.225,600189.0,22547259.141613003,0.33466739214426106
Fruit Juices,65020912.723000005,1102583.0,2170830.334318001,0.033386648132210976
Ice Cream & Frozen Dessert,63047658.09899999,408555.0,12762700.276369998,0.20242941072179854
Bread & Pav,62704153.966000006,1475133.0,15042976.707969995,0.23990398971217647
Paneer & Tofu,56122673.110000014,705116.0,6301257.564567,0.11227650458160791
Breakfast Cereal,54378212.586,302914.0,4666110.354171001,0.0858084540162381
Bathing Soaps,51002371.585,287097.0,97062.58347200013,0.001903099413921109
Eggs,49096440.59599999,451182.0,6365523.588627999,0.12965346390399254
Bhujia & Mixtures,48974176.146000005,605718.0,7579400.340743001,0.15476320251202536
Butter & More,48567068.736,481200.0,3082308.612321999,0.0634649916608465
Feminine Care,48229834.632,256829.0,3213991.671964001,0.06663907717053524
Whole Spices,47390961.32300001,730723.0,15846524.070449995,0.334378616260719
Moong & Masoor,46044057.474,456318.0,7940212.747473,0.1724481547256484
Shampoo & Conditioner,44973963.693,163783.0,-8222335.243820001,-0.18282434032159303
"Rajma, Chhole & Others",44396475.688999996,438356.0,8039876.723599999,0.18109267906578494
Cheese,40917436.58800001,273083.0,1932270.5950930004,0.04722364733033359
Chocolates,39451113.429000005,752302.0,4583237.878121996,0.11617512104874883
Diapers & Wipes,39216975.29599999,74537.0,-2784830.1075970004,-0.0710108336142141
Oral Care,37172507.33,304980.0,1237225.4419469996,0.03328334650561759
Liquid Detergents,37011485.280999996,120220.0,-1184492.6843659997,-0.032003381528005415
Floor Cleaners & More,36842428.965,239217.0,5955571.179950002,0.16164979745520427
"Besan, Sooji & Maida",36305337.078,704838.0,7005734.127293002,0.19296705914729756
