product_id,product_name,brand_name,unit_selling_price,landing_cost_per_unit,discount_rate,procured_quantity,order_id
432764,Dabur Neem Germ Protection Toothpaste,Dabur,76.0,85.41983,0.0,1,112247443
19481,Pears Pure & Gentle Soap,Pears,179.0,187.69714,0.0,1,112247528
18575,Vim Lemon Dishwash Gel,Vim,148.0,169.91496,0.0,1,112247731
22392,Dove Daily Shine Hair Conditioner,Dove,142.0,174.63155,0.0,1,112254554
392236,Surf Excel Front Load Matic Liquid Detergent,Surf Excel,368.0,397.7431,0.0,1,112266987
436442,Aashirvaad Organic Arhar Dal,Aashirvaad,95.0,101.398,0.0,1,112247321
3769,Saffola Gold Healthy Lifestyle & Heart Edible Oil,Saffola,414.0,425.87997,0.0,2,112267256
392236,Surf Excel Front Load Matic Liquid Detergent,Surf Excel,395.0,397.73843,0.0,1,112267500
455288,Ariel Top Load Matic Liquid Detergent,Ariel,305.0,361.1041,0.0,1,112267815
395049,Odonil Zipper Room Freshener,Odonil,128.0,141.27205,0.0,1,112268048
407580,Pril Tamarind Shine Specialist Dishwash Gel,Pril,151.0,174.14372,0.0,1,112247773
400329,Mother Dairy Pure Cow Ghee,Mother Dairy,400.0,453.10593,0.0,3,112267028
439210,Wingreens Farms Butter Garlic Naan Chips,Wingreens Farms,30.0,31.203,0.0,1,112247973
395043,Stayfree Dry Max All Night Sanitary Pads (Extra Large Wings),Stayfree,425.0,446.43,0.0,1,112255880
243,Nescafe Classic Instant Coffee,Nescafe,276.0,285.1774,0.0,2,112267836
393,Surf Excel Top Load Matic Detergent Powder,Surf Excel,324.0,446.90024,0.0,1,112268638
39022,Pond's Magic Freshness Acacia Honey Talc,Pond's,311.0,320.30417,0.0,1,112268600
23888,Head & Shoulders Anti Dandruff Shampoo,Head & Shoulders,385.0,624.13153,0.0,1,112268663
479477,Goeld Cheeseful Naan,Goeld,91.0,101.25199,0.0,1,112287334
82224,Saffola Gold Healthy Lifestyle & Heart Edible Oil,Saffola,203.0,215.28201,0.0,1,112287382
243,Nescafe Classic Instant Coffee,Nescafe,276.0,285.3555,0.0,1,112287446
409120,Colgate Toothpaste Bamboo Charcoal Black Gel And Wintergreen Mint For A Clean Mouth Experience,Colgate,99.0,108.9454,0.0,1,112288619
